Id,Source,Target,Type
453,Nejat Gürçen,Alpay Ýzer,Undirected
454,Mesut Sürmeli,Alpay Ýzer,Undirected
455,Nubar Terziyan,Zeki Alpan,Undirected
456,Þemsi Ýnkaya,Zeki Alpan,Undirected
457,Hüseyin Kutman,Zeki Alpan,Undirected
458,Nevzat Okçugil,Zeki Alpan,Undirected
459,Bilge Zobu,Zeki Alpan,Undirected
460,Reha Yurdakul,Zeki Alpan,Undirected
461,Nejat Gürçen,Zeki Alpan,Undirected
462,Mesut Sürmeli,Zeki Alpan,Undirected
463,Þemsi Ýnkaya,Nubar Terziyan,Undirected
464,Hüseyin Kutman,Nubar Terziyan,Undirected
465,Nevzat Okçugil,Nubar Terziyan,Undirected
466,Bilge Zobu,Nubar Terziyan,Undirected
467,Reha Yurdakul,Nubar Terziyan,Undirected
468,Nejat Gürçen,Nubar Terziyan,Undirected
469,Mesut Sürmeli,Nubar Terziyan,Undirected
470,Hüseyin Kutman,Þemsi Ýnkaya,Undirected
471,Nevzat Okçugil,Þemsi Ýnkaya,Undirected
472,Bilge Zobu,Þemsi Ýnkaya,Undirected
473,Reha Yurdakul,Þemsi Ýnkaya,Undirected
474,Nejat Gürçen,Þemsi Ýnkaya,Undirected
475,Mesut Sürmeli,Þemsi Ýnkaya,Undirected
476,Nevzat Okçugil,Hüseyin Kutman,Undirected
477,Bilge Zobu,Hüseyin Kutman,Undirected
478,Reha Yurdakul,Hüseyin Kutman,Undirected
479,Nejat Gürçen,Hüseyin Kutman,Undirected
480,Mesut Sürmeli,Hüseyin Kutman,Undirected
481,Bilge Zobu,Nevzat Okçugil,Undirected
482,Reha Yurdakul,Nevzat Okçugil,Undirected
483,Nejat Gürçen,Nevzat Okçugil,Undirected
484,Mesut Sürmeli,Nevzat Okçugil,Undirected
485,Reha Yurdakul,Bilge Zobu,Undirected
486,Nejat Gürçen,Bilge Zobu,Undirected
487,Mesut Sürmeli,Bilge Zobu,Undirected
488,Nejat Gürçen,Reha Yurdakul,Undirected
